('[2024-05-25 13:11:52]', '[3.9275,3.4668,0.6431,2.6581,1.7170,2.4801]', '[-0.1204,0.0368,0.1722,-0.1540,-0.0281,0.3842]', '[0.1249,-0.4629,-0.5388,-0.0303,-0.1017,0.1485]')
('[2024-05-25 13:11:52]', '[3.9178,3.4706,0.6565,2.6459,1.7135,2.5094]', '[-0.1059,0.0689,0.1538,-0.1549,-0.1119,0.3117]', '[0.3950,0.0688,-0.2067,-0.2026,-0.2119,0.0433]')
('[2024-05-25 13:11:52]', '[3.9105,3.4771,0.6686,2.6340,1.7071,2.5381]', '[-0.0709,0.0510,0.1142,-0.0969,-0.0399,0.2803]', '[0.1010,-0.5802,-0.2069,-0.0644,-0.0774,0.0585]')
('[2024-05-25 13:11:52]', '[3.8942,3.4907,0.6932,2.6247,1.6954,2.5946]', '[-0.1032,0.0871,0.1431,-0.0495,-0.0465,0.3136]', '[0.0413,-0.0520,-0.1646,0.0338,0.0015,0.1080]')
('[2024-05-25 13:11:52]', '[3.8842,3.4993,0.7061,2.6225,1.6928,2.6210]', '[-0.1160,0.0774,0.1381,-0.0197,-0.0340,0.2467]', '[-0.2824,-0.1041,-0.3249,0.1455,-0.0143,0.2705]')
('[2024-05-25 13:11:52]', '[3.8730,3.5077,0.7181,2.6214,1.6912,2.6452]', '[-0.0908,0.0507,0.0872,-0.0113,-0.0113,0.1876]', '[-0.5493,-0.5690,-0.0856,0.3266,0.0899,0.0665]')
('[2024-05-25 13:11:52]', '[3.8638,3.5161,0.7285,2.6213,1.6897,2.6658]', '[-0.1185,0.0825,0.1238,-0.0113,-0.0113,0.2249]', '[-0.9417,0.7288,-0.0373,0.5039,0.0027,0.0966]')
('[2024-05-25 13:11:53]', '[3.8561,3.5211,0.7353,2.6214,1.6890,2.6794]', '[-0.0631,0.0180,0.0308,-0.0000,-0.0113,0.1085]', '[-1.0656,0.9002,0.4074,0.5424,0.0719,0.1082]')
('[2024-05-25 13:11:53]', '[3.8495,3.5268,0.7418,2.6214,1.6886,2.6909]', '[-0.0800,0.0787,0.0737,-0.0000,-0.0113,0.1383]', '[-1.0793,1.0589,-0.0145,0.6293,-0.0344,0.2055]')
('[2024-05-25 13:11:53]', '[3.8429,3.5322,0.7469,2.6216,1.6884,2.6994]', '[-0.0823,0.0360,0.0508,-0.0000,-0.0113,0.0599]', '[-1.3394,1.0165,-0.1861,0.7505,-0.0278,0.1770]')
('[2024-05-25 13:11:53]', '[3.8339,3.5372,0.7521,2.6220,1.6880,2.7056]', '[-0.1238,0.0587,0.0826,0.0000,-0.0113,0.0734]', '[-1.7200,1.2897,-0.2420,0.8494,-0.0568,0.1839]')
