[-0.5719, -0.6079, -0.4492, -0.0741, 0.2750, -0.6788]
[-0.4480, -0.3911, -0.2910, -0.0498, 0.1687, -0.4367]
[-0.4812, -0.4243, -0.3040, -0.0572, 0.2019, -0.4699]
[-0.5144, -0.4575, -0.3170, -0.0646, 0.2351, -0.5031]
[-0.5476, -0.4907, -0.3299, -0.0720, 0.2683, -0.5363]
[-0.5808, -0.5239, -0.3429, -0.0794, 0.3015, -0.5695]
[-0.4480, -0.3911, -0.2910, -0.0498, 0.1687, -0.4367]
[-0.4812, -0.4243, -0.3040, -0.0572, 0.2019, -0.4699]
[-0.5144, -0.4575, -0.3170, -0.0646, 0.2351, -0.5031]
[-0.5476, -0.4907, -0.3299, -0.0720, 0.2683, -0.5363]
[-0.5808, -0.5239, -0.3429, -0.0794, 0.3015, -0.5695]
[-0.4729, -0.4945, -0.3314, -0.0670, 0.2321, -0.5052]
[-0.5061, -0.5277, -0.3410, -0.0709, 0.2646, -0.5384]
[-0.5393, -0.5609, -0.3506, -0.0748, 0.2971, -0.5716]
[-0.5725, -0.5941, -0.3602, -0.0787, 0.3296, -0.6048]
[-0.6057, -0.6273, -0.3698, -0.0825, 0.3621, -0.6380]
[-0.5233, -0.4888, -0.3087, -0.0432, 0.2631, -0.5771]
[-0.5565, -0.5220, -0.3126, -0.0526, 0.2958, -0.6103]
[-0.5897, -0.5552, -0.3165, -0.0619, 0.3285, -0.6435]
[-0.6229, -0.5884, -0.3205, -0.0713, 0.3612, -0.6767]
[-0.6283, -0.6216, -0.3244, -0.0806, 0.3940, -0.7099]
[-0.5871, -0.4968, -0.3278, -0.0830, 0.2548, -0.5906]
[-0.6203, -0.5258, -0.3266, -0.1052, 0.2880, -0.6238]
[-0.6283, -0.5548, -0.3255, -0.1274, 0.3212, -0.6570]
[-0.6283, -0.5838, -0.3244, -0.1495, 0.3544, -0.6902]
[-0.6283, -0.6128, -0.3233, -0.1717, 0.3876, -0.7234]
[-0.5649, -0.4786, -0.3366, -0.0469, 0.2617, -0.5770]
[-0.5981, -0.5088, -0.3300, -0.0649, 0.2949, -0.6102]
[-0.6283, -0.5390, -0.3234, -0.0829, 0.3281, -0.6434]
[-0.6283, -0.5691, -0.3169, -0.1010, 0.3613, -0.6766]
[-0.6283, -0.5993, -0.3103, -0.1190, 0.3945, -0.7098]
[-0.6283, -0.5731, -0.3118, -0.1045, 0.2872, -0.5999]
[-0.6283, -0.5936, -0.2907, -0.1375, 0.3204, -0.6331]
